SERIAL,DEPARTMENTID,HALLSTATUS,ADMISSIONDATE,CLASSATTENDENCEMARKS,CLASSTESTMARKS,PARTAMARKS,LEVELNAME,TERMNAME,GPA,CGPA,TERMCOUNT,CRHREARNED,TOTCRHRCOMPLETED,COURSECREDIT,,,
10328,ME,Resident,M,1/1/2005,PHY 107,A-,68,69,209,1,2,3,3,-1,19,40,3
10328,ME,Resident,M,1/1/2005,SHOP 160,A,NA,NA,79,1,1,3,3,-1,21,21,1.5
10328,ME,Resident,M,1/1/2005,SHOP 170,B,NA,NA,31,1,2,3,3,-1,19,40,1.5
10329,CE,Attached,M,1/1/2007,CE 100,B-,NA,NA,82,1,1,3,3,1,20,20,1.5
10329,CE,Attached,M,1/1/2007,CE 101,B-,128,0,231,1,1,3,3,1,20,20,4
10329,CE,Attached,M,1/1/2007,CE 102,B,NA,NA,93,1,2,3,3,2,20,39,1.5
10329,CE,Attached,M,1/1/2007,CE 103,B-,70,72,231,1,2,3,3,2,20,39,4
10329,CE,Attached,M,1/1/2007,CE 104,B+,NA,NA,97,3,2,3,3,6,23,117,1.5
10329,CE,Attached,M,1/1/2007,CE 200,A-,NA,NA,110,2,1,3,3,3,17,56,1.5
10329,CE,Attached,M,1/1/2007,CE 201,C,94,39,192,2,1,3,3,3,17,56,4
10329,CE,Attached,M,1/1/2007,CE 202,B,NA,NA,93,2,1,3,3,3,17,56,1.5
10329,CE,Attached,M,1/1/2007,CE 203,D,22,74,130,2,1,3,3,3,17,56,3
10329,CE,Attached,M,1/1/2007,CE 205,B,40,45,120,2,2,3,3,4,17,72,2
10329,CE,Attached,M,1/1/2007,CE 206,A,NA,NA,193,2,2,3,3,4,17,72,0
10329,CE,Attached,M,1/1/2007,CE 208,C+,NA,NA,80,2,2,3,3,4,17,72,1.5
10329,CE,Attached,M,1/1/2007,CE 211,C+,54,73,150,2,1,3,3,3,17,56,3
10329,CE,Attached,M,1/1/2007,CE 212,B-,NA,NA,86,2,1,3,3,3,17,56,1.5
10329,CE,Attached,M,1/1/2007,CE 213,D,44,50,128,4,2,3,3,8,22,160,3
10329,CE,Attached,M,1/1/2007,CE 213,F,34,36,101,2,2,3,3,4,17,72,3
10329,CE,Attached,M,1/1/2007,CE 311,B+,64,61,201,2,1,3,3,5,22,94,3
10329,CE,Attached,M,1/1/2007,CE 312,B-,NA,NA,83,2,1,3,3,5,22,94,1.5
10329,CE,Attached,M,1/1/2007,CE 313,B,82,24,190,3,2,3,3,6,23,117,3
10329,CE,Attached,M,1/1/2007,CE 315,B-,28,64,166,2,1,3,3,5,22,94,3
10329,CE,Attached,M,1/1/2007,CE 316,B,NA,NA,93,3,2,3,3,6,23,117,1.5
10329,CE,Attached,M,1/1/2007,CE 317,C+,21,90,212,3,2,3,3,6,23,117,4
10329,CE,Attached,M,1/1/2007,CE 331,B-,56,46,175,2,1,3,3,5,22,94,3
10329,CE,Attached,M,1/1/2007,CE 332,B-,NA,NA,82,3,2,3,3,6,23,117,1.5
10329,CE,Attached,M,1/1/2007,CE 333,C+,62,75,202,4,1,3,3,7,22,138,4
10329,CE,Attached,M,1/1/2007,CE 341,B,57,87,238,2,1,3,3,5,22,94,4
10329,CE,Attached,M,1/1/2007,CE 342,B,NA,NA,90,2,1,3,3,5,22,94,1.5
10329,CE,Attached,M,1/1/2007,CE 343,B+,74,66,198,3,2,3,3,6,23,117,3
10329,CE,Attached,M,1/1/2007,CE 351,B,57,70,190,4,1,3,3,7,22,138,3
10329,CE,Attached,M,1/1/2007,CE 353,B-,81,54,228,3,2,3,3,6,23,117,4
10329,CE,Attached,M,1/1/2007,CE 354,B,NA,NA,90,3,2,3,3,6,23,117,1.5
10329,CE,Attached,M,1/1/2007,CE 400,A,NA,NA,351,4,2,3,3,8,22,160,6
10329,CE,Attached,M,1/1/2007,CE 400,X,NA,NA,Cont,4,1,3,3,7,22,138,0
10329,CE,Attached,M,1/1/2007,CE 401,C+,65,29,149,4,1,3,3,7,22,138,3
10329,CE,Attached,M,1/1/2007,CE 403,B-,57,34,117,4,2,3,3,8,22,160,2
10329,CE,Attached,M,1/1/2007,CE 411,B,55,98,249,4,1,3,3,7,22,138,4
10329,CE,Attached,M,1/1/2007,CE 412,C,NA,NA,74,4,1,3,3,7,22,138,1.5
10329,CE,Attached,M,1/1/2007,CE 416,B+,NA,NA,97,4,2,3,3,8,22,160,1.5
10329,CE,Attached,M,1/1/2007,CE 417,B-,57,30,109,4,2,3,3,8,22,160,2
10329,CE,Attached,M,1/1/2007,CE 419,B,52,34,122,4,2,3,3,8,22,160,2
10329,CE,Attached,M,1/1/2007,CE 441,C,38,54,92,4,2,3,3,8,22,160,2
10329,CE,Attached,M,1/1/2007,CE 442,D,NA,NA,60,4,2,3,3,8,22,160,1.5
10329,CE,Attached,M,1/1/2007,CE 443,C,42,26,89,4,2,3,3,8,22,160,2
10329,CE,Attached,M,1/1/2007,CHEM 103,D,50,18,124,1,1,3,3,1,20,20,3
10329,CE,Attached,M,1/1/2007,CHEM 114,A,NA,NA,112,1,1,3,3,1,20,20,1.5
10329,CE,Attached,M,1/1/2007,EEE 165,B+,44,88,206,1,2,3,3,2,20,39,3
10329,CE,Attached,M,1/1/2007,EEE 166,A-,NA,NA,108,1,2,3,3,2,20,39,1.5
10329,CE,Attached,M,1/1/2007,HUM 111,B,49,35,123,1,2,3,3,2,20,39,2
