SID,Male_Female,Cgpa,Total_Credit_Completed,Result_status
4479,M,3,161
4480,M,3,161
4482,F,4,158
4483,M,3,158
4484,M,4,158
4485,F,3,158
4486,M,4,158
4487,F,3,158
4488,F,4,158
4489,M,3,158
4491,M,3,161
4492,M,3,161
4493,F,3,161
4495,M,3,161
4496,M,3,161
4497,M,3,161
4498,F,3,161
4499,F,3,151
4574,M,3,161
4587,M,3,159
4588,M,4,161
4589,M,4,162
4590,M,3,162
4591,M,4,160
4592,F,4,162
4593,F,3,161
4594,M,3,154
4595,M,2,129
4596,M,4,161
4597,F,3,162
4598,M,3,162
4609,M,3,162
4610,M,3,162
4611,M,3,162
4646,M,3,160
4647,M,3,162
4648,M,4,162
4650,M,3,162
4651,M,4,161
4652,M,3,162
4653,F,3,162
4655,M,3,138
4666,F,3,151
4667,M,3,151
4668,F,3,190
4669,F,3,151
4670,M,3,149
4672,F,3,190
4673,F,3,151
4674,M,3,131
4675,F,3,151
4676,F,3,151
4677,F,3,151
4679,F,4,159
4682,M,3,151
4683,M,3,148
4685,M,3,161
4686,M,3,144
4687,M,3,162
4706,M,3,132
4708,M,3,161
4709,M,3,162
4711,M,4,160
4712,M,3,161
4713,M,4,161
4716,F,3,155
4717,F,4,158
4750,M,4,160
4751,M,3,160
4752,M,3,161
4753,M,4,158
4754,M,3,158
4757,M,3,120
4758,M,3,167
4759,M,3,158
4762,M,3,156
4763,M,3,156
4764,M,3,124
4765,M,4,162
4766,M,3,135
4767,M,3,158
4768,M,4,158
4769,M,4,158
4770,F,4,158
4771,M,4,162
4772,M,3,162
4817,M,3,160
4821,M,3,159
4823,M,3,156
4825,M,3,162
4827,M,3,160
4828,M,4,158
4829,M,4,158
4830,F,3,160
4831,M,4,162
4832,M,4,162
4833,M,4,162
4834,F,3,153
4836,M,3,162
4837,M,3,162
4838,M,3,162
4839,M,3,160
4840,M,3,158
4841,M,4,158
4842,F,4,158
4843,M,4,158
4857,F,3,162
4870,M,3,159
4872,M,3,162
4873,M,3,140
4874,F,3,161
4875,M,4,162
4876,M,3,162
4877,F,3,151
4878,M,3,141
4879,M,3,157
4880,F,3,161
4881,M,4,158
4882,M,3,156
4883,M,3,162
4884,M,3,162
4885,M,3,162
4886,M,4,162
4889,M,3,156
4890,M,4,160
4891,M,3,162
4894,M,4,161
4899,M,3,162
4900,F,4,155
4901,M,4,158
4904,F,3,190
4905,F,4,162
4906,M,3,162
4908,M,3,180
4912,M,4,161
4918,M,3,190
4928,M,2,139
4944,F,3,178
4953,M,3,157
4954,M,3,149
4955,M,3,158
4956,M,4,158
4957,F,4,158
4958,M,3,138
4959,M,3,158
4960,M,4,158
4961,M,3,146
4962,M,3,158
4963,M,4,158
4964,M,3,158
4965,M,4,158
4966,M,4,158
4967,M,3,158
4968,M,3,158
4969,M,3,158
4970,F,3,158
4971,M,4,158
4972,M,4,158
4973,M,3,160
4974,F,4,162
4975,M,3,158
4977,M,3,160
4978,M,4,158
4991,M,3,149
4994,M,3,162
4995,M,4,158
4996,M,3,160
4997,M,3,160
5041,M,3,149
5057,F,3,155
5063,M,3,180
5064,M,3,159
5065,M,4,161
5066,M,4,158
5068,M,4,158
5069,M,3,160
5070,F,3,153
5071,M,3,160
5076,M,3,139
5077,M,3,160
5079,F,3,141
5080,M,3,160
5081,M,4,160
5082,M,3,162
5083,M,3,157
5084,M,3,162
5085,F,4,160
5086,M,4,161
5087,M,3,158
5088,M,3,162
5089,M,3,137
5090,M,4,160
5091,M,3,161
5092,M,4,160
5096,M,3,155
5106,F,3,162
5107,M,3,162
5108,M,4,162
5109,M,3,145
5110,M,4,162
5111,M,3,162
5113,M,3,162
5115,M,3,162
5116,M,4,162
5117,M,3,162
5118,M,4,162
5119,M,4,162
5120,M,3,162
5121,M,4,162
5122,M,3,162
5123,M,4,162
5124,M,4,162
5125,M,4,160
5126,M,4,158
5127,M,4,158
5163,M,3,158
5167,F,3,158
5168,M,3,151
5169,M,3,162
5171,M,3,162
5172,M,4,162
5173,F,3,160
5174,M,3,161
5175,F,4,162
5177,M,3,160
5182,M,4,158
5183,M,3,158
5184,M,3,142
5185,M,2,15
5186,M,3,159
5187,M,3,159
5188,F,4,159
5189,M,4,160
5190,M,3,160
5191,M,3,160
5192,M,4,160
5193,M,3,160
5194,F,4,160
5196,M,3,160
5197,M,3,160
5198,M,3,160
5199,M,4,160
5200,F,4,160
5202,M,3,126
5214,M,3,160
5215,M,3,158
5216,M,3,151
5222,M,3,160
5224,M,3,185
5225,F,3,157
5226,F,3,147
