SID,Department,Hall_Status,Male_Female,Attendance,ClassText,Cgpa,Total_Credit_Completed,Status
5225,10,1,1,0.303669725,0.483256881,2.172972973,185,
5226,10,1,0,0.778021978,0.631318681,2.306056701,194,
5227,10,1,0,0.545631068,0.54223301,2.239919355,186,
5228,5,1,1,0.946551724,0.72112069,3.06328125,160,
5229,1,1,1,0.9875,0.7325,3.256329114,158,
5230,2,1,1,0.715517241,0.676293103,3.15625,160,
5231,1,1,1,0.979487179,0.822008547,3.778481013,158,
5232,4,1,1,0.995275591,0.775590551,3.546682099,162,
5234,5,0,0,0.984166667,0.75125,3.31953125,160,
5235,5,1,1,0.372903226,0.490645161,2.674528302,159,
5236,1,1,1,0.869291339,0.719291339,4.083941606,137,
5237,1,0,1,0.984615385,0.884401709,3.856803797,158,
5238,1,0,1,0.933333333,0.838247863,3.821202532,158,
5239,1,0,1,0.997435897,0.842735043,3.688291139,158,
5240,1,1,0,0.992307692,0.917735043,3.909018987,158,
5241,1,1,1,0.969230769,0.867307692,3.85443038,158,
5242,1,1,1,0.9,0.864957265,3.764240506,158,
5243,1,1,1,0.974358974,0.773931624,3.232594937,158,
5244,1,1,1,0.929508197,0.700819672,3.138157895,152,
5245,1,1,1,0.859663866,0.712605042,3.408227848,158,
5246,1,0,1,0.997435897,0.919444444,3.916139241,158,
5248,1,0,1,0.976923077,0.797435897,3.581487342,158,
5250,1,1,1,0.943589744,0.811666667,3.733386076,158,
5251,1,1,1,0.946153846,0.851495726,3.797468354,158,
5256,10,0,1,0,0.035714286,2,2,
5293,10,0,1,0,0.183333333,2,2,
5294,5,0,1,0.99,0.857083333,3.7734375,160,
5295,2,1,1,0.974107143,0.796875,3.37890625,160,
5296,4,1,1,0.96504065,0.665853659,2.807484568,162,
5297,11,1,1,0.991666667,0.794166667,3.428240741,162,
5298,2,1,1,0.9776,0.8122,3.463734568,162,
5299,10,0,0,0.818823529,0.688823529,2.477631579,190,
5300,4,1,1,0.973170732,0.736178862,3.112654321,162,
5365,1,0,1,0.997435897,0.814316239,3.726265823,158,
5366,5,0,0,0.946666667,0.67125,3.25546875,160,
5369,2,1,1,0.947413793,0.714224138,3.234375,160,
5378,5,1,1,0.763793103,0.717887931,2.90390625,160,
5379,7,1,1,0.439910314,0.344394619,2.372242647,136,
5380,1,0,1,0.9925,0.853125,3.579113924,158,
5381,5,1,1,0.835042735,0.676495726,2.898291925,161,
5383,5,1,1,0.615286624,0.457643312,2.608221477,149,
5385,6,1,1,0.773015873,0.591666667,2.754084967,153,
5386,7,0,0,0.992173913,0.812173913,3.710691824,159,
5388,1,0,1,0.9725,0.765833333,3.391613924,158,
5389,1,0,1,0.958974359,0.747863248,3.498417722,158,
5390,5,0,1,0.930496454,0.563120567,3.089285714,133,
5403,9,1,1,0.881904762,0.753,3.284810127,158,
5511,5,0,1,0.392356688,0.770063694,2.089928058,139,
5512,7,1,1,0.926956522,0.676304348,3.191823899,159,
5513,7,1,1,1,0.811016949,3.303685897,156,
5514,7,1,1,0.905932203,0.597457627,2.66745283,159,
5515,7,1,1,0.943220339,0.655084746,2.854559748,159,
5516,7,1,1,0.998198198,0.795495495,3.251572327,159,
5520,2,1,1,0.826153846,0.590384615,3.020833333,153,
5522,1,1,1,0.98974359,0.836965812,3.709651899,158,
5565,4,1,1,0.873015873,0.779365079,3.217374214,159,
5566,1,1,1,0.9775,0.75,3.415348101,158,
5567,1,1,1,0.998275862,0.758836207,2.992879747,158,
5573,1,1,1,0.938095238,0.75734127,3.232258065,155,
5574,5,0,1,0.979166667,0.83625,3.60078125,160,
5575,5,1,1,0.985,0.8525,3.5765625,160,
5576,5,0,0,0.960833333,0.680416667,3.1078125,160,
5577,5,1,0,0.975,0.807758621,3.29765625,160,
5581,2,0,1,0.996551724,0.722844828,2.774609375,160,
5598,8,1,1,0.925438596,0.79122807,3.52484472,161,
5602,4,1,1,0.822307692,0.623076923,3.128858025,162,
5603,4,1,1,0.758267717,0.75,3.295524691,162,
5605,8,1,1,0.894736842,0.738596491,3.152173913,161,
5606,11,1,0,0.966393443,0.716598361,3.232142857,161,
5607,2,0,1,0.944,0.6912,3.133487654,162,
5608,2,1,1,0.848888889,0.62037037,2.956487342,158,
5610,2,1,1,0.8944,0.7232,3.043595679,162,
5633,1,1,1,0.969230769,0.866239316,3.757120253,158,
5712,1,0,1,0.7,0.757092199,2.279255319,141,
5716,1,1,1,0.775373134,0.598320896,2.879901961,153,
5717,1,1,1,0.98974359,0.794444444,3.712025316,158,
5718,4,1,1,0.94488189,0.704724409,3.24382716,162,
5719,4,1,1,0.887401575,0.749212598,3.313657407,162,
5723,8,1,1,0.852941176,0.72605042,3.322204969,161,
5724,1,1,1,0.995726496,0.738461538,2.944968553,159,
5725,7,1,1,0.990434783,0.783478261,3.538522013,159,
5727,6,1,1,0.996610169,0.822881356,3.740234375,160,
5732,10,0,0,0.724096386,0.6,2.388815789,190,
5734,1,1,1,0.979487179,0.791452991,3.647943038,158,
5735,5,1,1,0.891935484,0.711290323,3.195512821,156,
5736,4,1,1,0.912598425,0.80984252,3.580246914,162,
5740,1,1,1,0.994871795,0.751282051,3.348892405,158,
5741,10,1,0,0.837349398,0.71626506,2.436842105,190,
5742,1,1,1,0.992307692,0.804700855,3.700158228,158,
5743,7,1,1,0.756716418,0.624253731,3.02173913,138,
5744,5,1,1,0.8625,0.67125,3.3265625,160,
5745,5,0,1,0.777777778,0.54484127,2.696993671,158,
5746,5,1,1,0.7544,0.6644,3.01875,160,
5747,5,0,1,0.965,0.699166667,3.11328125,160,
5748,5,0,1,0.936153846,0.743846154,3.862410072,139,
5749,5,0,1,0.977586207,0.747413793,3.31328125,160,
5750,5,1,1,0.996666667,0.82875,3.69375,160,
5751,5,1,1,0.944166667,0.645,3.06875,160,
5752,5,1,1,0.981818182,0.591735537,2.59414557,158,
